Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7534599006387509,0.917479628141857,0.6229252707862541,0.742040285899935
Random Forest,0.7778566359119943,0.9691809569492745,0.62978259175563,0.7634611751369733
SVM,0.7710699077359829,0.9664396887159533,0.6193407620977168,0.7549033575533077
